25, 1, 2606.29, 737.04, 2728.01, 965.40, 1, 0.98
25, 2, 1421.35, 614.24, 1530.08, 811.75, 0, 0.80
25, 3, 2472.35, 1512.78, 2736.86, 1974.15, 2, 0.48
25, 4, 2489.27, 1512.70, 2726.98, 1963.89, 0, 0.37
25, 5, 3407.24, 804.78, 3627.09, 1037.80, 3, 0.34
25, 6, 3403.15, 796.50, 3613.00, 1035.68, 3, 0.31
50, 1, 2604.89, 736.71, 2729.12, 965.84, 1, 0.98
50, 2, 1421.55, 616.68, 1526.74, 810.57, 0, 0.83
50, 5, 3404.19, 806.20, 3624.41, 1046.94, 3, 0.82
50, 6, 3405.17, 800.05, 3610.66, 1033.46, 3, 0.50
75, 1, 2605.62, 740.60, 2725.72, 963.84, 1, 0.97
75, 2, 1421.10, 613.95, 1528.53, 807.71, 0, 0.82
75, 5, 3402.69, 804.46, 3623.96, 1047.94, 3, 0.89
75, 6, 3406.97, 803.20, 3624.06, 1038.02, 3, 0.60
100, 1, 2608.27, 739.66, 2726.70, 963.35, 1, 0.99
100, 2, 1422.77, 612.86, 1529.88, 806.26, 0, 0.85
100, 5, 3401.17, 806.56, 3624.54, 1049.41, 3, 0.91
100, 6, 3406.25, 806.37, 3628.38, 1040.37, 3, 0.42
100, 12, 2814.76, 823.36, 2960.29, 1083.27, 2, 0.78
100, 13, 3403.28, 800.22, 3612.37, 1033.71, 3, 0.39
125, 1, 2607.87, 738.48, 2725.11, 962.67, 1, 0.98
125, 2, 1422.53, 613.60, 1529.68, 806.35, 0, 0.83
125, 5, 3402.80, 807.07, 3625.36, 1049.27, 3, 0.89
125, 6, 3408.37, 807.05, 3630.23, 1040.92, 3, 0.45
125, 12, 2814.11, 819.50, 2959.87, 1078.48, 2, 0.79
125, 13, 3405.36, 801.06, 3612.97, 1033.40, 3, 0.45
150, 1, 2607.28, 739.36, 2724.36, 963.04, 1, 0.98
150, 2, 1418.60, 613.20, 1529.67, 807.83, 0, 0.87
150, 5, 3403.33, 807.43, 3625.56, 1050.22, 3, 0.94
150, 6, 3408.64, 807.52, 3630.69, 1042.06, 3, 0.31
150, 12, 2811.00, 817.15, 2957.46, 1076.68, 2, 0.67
150, 13, 3405.85, 801.95, 3611.96, 1035.07, 3, 0.38
175, 1, 2606.74, 739.20, 2724.68, 964.04, 1, 0.99
175, 2, 1420.07, 612.19, 1530.10, 807.88, 0, 0.70
175, 5, 3402.73, 807.14, 3626.42, 1050.60, 3, 0.94
175, 6, 3408.06, 807.02, 3631.85, 1042.69, 3, 0.28
175, 12, 2811.99, 817.13, 2958.36, 1076.58, 2, 0.51
175, 13, 3405.48, 800.91, 3612.92, 1036.59, 3, 0.50
175, 3, 2426.80, 1454.70, 2637.66, 1881.50, 0, 0.96
200, 1, 2606.32, 739.32, 2724.45, 963.85, 1, 0.98
200, 2, 1421.78, 612.95, 1528.83, 808.42, 0, 0.66
200, 5, 3402.55, 806.90, 3626.80, 1049.65, 3, 0.91
200, 6, 3408.41, 806.81, 3631.42, 1041.33, 3, 0.52
200, 12, 2813.15, 815.84, 2955.80, 1051.67, 2, 0.58
200, 13, 3406.27, 800.92, 3612.31, 1034.82, 3, 0.40
225, 1, 2605.63, 734.30, 2724.44, 963.00, 1, 0.98
225, 2, 1423.23, 611.65, 1530.83, 806.33, 0, 0.84
225, 5, 3402.96, 805.80, 3626.62, 1048.79, 3, 0.90
225, 6, 3408.63, 806.41, 3630.61, 1040.86, 3, 0.51
225, 12, 2811.46, 817.91, 2956.32, 1067.36, 2, 0.78
225, 13, 3406.10, 800.57, 3612.79, 1034.31, 3, 0.46
250, 1, 2604.96, 736.73, 2725.47, 962.17, 1, 0.98
250, 2, 1423.45, 610.42, 1531.26, 807.67, 0, 0.89
250, 5, 3403.21, 810.83, 3618.51, 1047.83, 3, 0.59
250, 12, 2810.21, 818.98, 2954.66, 1070.16, 2, 0.66
275, 1, 2605.06, 737.89, 2725.53, 963.55, 1, 0.98
275, 2, 1423.96, 611.94, 1529.41, 808.27, 0, 0.85
275, 5, 3403.90, 808.80, 3624.19, 1047.77, 3, 0.88
275, 12, 2810.23, 819.42, 2954.41, 1070.83, 2, 0.86
275, 21, 3022.87, 786.17, 3137.33, 1027.24, 0, 0.93
300, 1, 2604.89, 737.11, 2725.88, 963.85, 1, 0.95
300, 2, 1422.66, 611.64, 1531.09, 807.36, 0, 0.54
300, 5, 3404.55, 807.76, 3625.53, 1048.46, 3, 0.92
300, 12, 2809.22, 810.31, 2952.08, 1071.91, 2, 0.91
300, 21, 3023.84, 793.76, 3134.52, 1029.32, 0, 0.88
300, 25, 2242.50, 787.21, 2374.47, 1046.17, 0, 0.86
300, 27, 3407.73, 801.08, 3612.64, 1035.05, 3, 0.51
300, 28, 3410.02, 806.93, 3629.83, 1041.03, 3, 0.33
325, 1, 2605.05, 737.13, 2725.29, 963.37, 1, 0.98
325, 2, 1422.77, 610.91, 1530.47, 806.69, 0, 0.72
325, 5, 3403.82, 807.65, 3624.59, 1047.21, 3, 0.77
325, 12, 2809.92, 817.12, 2952.24, 1072.68, 2, 0.88
325, 21, 3022.97, 789.01, 3134.65, 1028.31, 0, 0.94
325, 25, 2256.93, 758.91, 2377.31, 999.97, 0, 0.90
325, 27, 3406.87, 801.77, 3611.34, 1033.07, 3, 0.45
325, 28, 3409.60, 807.68, 3627.39, 1038.79, 3, 0.65
350, 1, 2605.39, 738.22, 2725.19, 963.58, 1, 0.98
350, 2, 1423.21, 610.39, 1531.91, 805.75, 0, 0.89
350, 5, 3404.52, 807.57, 3626.51, 1048.18, 3, 0.89
350, 12, 2809.67, 817.80, 2954.44, 1072.22, 2, 0.91
350, 21, 3024.90, 789.43, 3136.70, 1028.25, 0, 0.91
350, 25, 2262.34, 749.57, 2381.92, 982.09, 0, 0.92
350, 27, 3407.30, 801.46, 3612.47, 1033.97, 3, 0.46
350, 28, 3409.97, 807.36, 3629.95, 1039.74, 3, 0.37
375, 1, 2604.97, 737.81, 2725.18, 963.40, 1, 0.99
375, 2, 1422.20, 612.81, 1528.97, 805.90, 0, 0.86
375, 5, 3404.47, 807.98, 3626.98, 1048.46, 3, 0.88
375, 12, 2810.94, 818.79, 2955.62, 1073.05, 2, 0.91
375, 21, 3023.00, 786.78, 3135.46, 1027.35, 0, 0.92
375, 25, 2262.02, 745.18, 2381.91, 977.01, 0, 0.95
375, 27, 3406.68, 801.52, 3612.15, 1034.82, 3, 0.44
375, 28, 3409.60, 807.69, 3630.31, 1040.38, 3, 0.35
400, 1, 2604.56, 737.35, 2725.66, 964.47, 1, 0.94
400, 2, 1422.68, 612.97, 1524.68, 808.46, 0, 0.64
400, 5, 3405.02, 807.56, 3626.05, 1049.73, 3, 0.92
400, 12, 2809.89, 819.60, 2954.63, 1072.45, 2, 0.77
400, 21, 3021.29, 783.36, 3138.25, 1028.02, 0, 0.92
400, 25, 2261.38, 744.30, 2380.62, 975.34, 0, 0.94
400, 27, 3406.70, 800.42, 3610.97, 1036.78, 3, 0.46
425, 1, 2605.37, 739.11, 2725.70, 963.37, 1, 0.98
425, 2, 1421.79, 612.01, 1528.55, 807.39, 0, 0.92
425, 5, 3407.25, 806.65, 3628.12, 1049.34, 3, 0.83
425, 12, 2810.48, 819.46, 2954.11, 1072.08, 2, 0.89
425, 21, 3023.44, 785.59, 3140.58, 1030.24, 0, 0.93
425, 25, 2261.74, 744.12, 2381.17, 975.72, 0, 0.91
425, 27, 3410.10, 800.60, 3613.03, 1035.05, 3, 0.56
450, 1, 2605.17, 738.82, 2726.44, 964.68, 1, 0.99
450, 2, 1422.59, 612.37, 1530.48, 807.55, 0, 0.87
450, 5, 3407.50, 807.21, 3628.00, 1048.48, 3, 0.71
450, 12, 2810.53, 820.26, 2955.57, 1071.78, 2, 0.81
450, 21, 3025.37, 791.09, 3141.08, 1032.92, 0, 0.93
450, 25, 2261.21, 745.30, 2381.00, 977.61, 0, 0.90
450, 27, 3410.26, 800.43, 3612.09, 1034.12, 3, 0.58
475, 1, 2605.45, 739.04, 2726.22, 964.23, 1, 0.98
475, 2, 1422.13, 613.39, 1530.85, 807.25, 0, 0.69
475, 5, 3408.30, 806.32, 3628.72, 1048.69, 3, 0.77
475, 12, 2810.43, 821.05, 2954.14, 1071.16, 2, 0.85
475, 21, 3027.60, 793.92, 3140.67, 1032.44, 0, 0.91
475, 25, 2261.50, 746.61, 2383.42, 974.81, 0, 0.94
475, 27, 3411.79, 799.90, 3612.02, 1034.26, 3, 0.52
500, 1, 2605.71, 738.95, 2725.40, 964.18, 1, 0.98
500, 2, 1421.40, 613.94, 1529.83, 807.98, 0, 0.80
500, 5, 3411.18, 805.52, 3633.32, 1040.46, 3, 0.58
500, 12, 2811.49, 821.23, 2953.35, 1071.42, 2, 0.80
500, 21, 3029.52, 797.30, 3141.58, 1033.78, 0, 0.94
500, 25, 2261.56, 747.72, 2380.40, 976.17, 0, 0.93
500, 27, 3410.29, 799.71, 3612.63, 1030.69, 3, 0.57
525, 1, 2605.49, 738.33, 2725.37, 963.14, 1, 0.97
525, 2, 1422.41, 612.90, 1530.33, 807.26, 0, 0.86
525, 5, 3410.20, 806.00, 3632.69, 1045.15, 3, 0.49
525, 12, 2811.12, 820.91, 2953.08, 1071.31, 2, 0.89
525, 21, 3030.28, 797.19, 3142.08, 1033.74, 0, 0.93
525, 25, 2263.27, 747.93, 2379.74, 976.19, 0, 0.95
525, 27, 3412.13, 800.21, 3614.94, 1030.83, 3, 0.62
550, 1, 2605.18, 738.45, 2725.65, 963.45, 1, 0.98
550, 2, 1415.92, 612.24, 1531.52, 780.01, 3, 0.45
550, 5, 3412.84, 806.97, 3631.81, 1046.73, 3, 0.51
550, 12, 2811.44, 820.16, 2955.94, 1071.40, 2, 0.89
550, 21, 3030.16, 795.72, 3143.59, 1032.89, 0, 0.94
550, 25, 2261.85, 747.52, 2378.60, 978.52, 0, 0.93
550, 27, 3414.38, 800.28, 3615.23, 1035.08, 3, 0.70
575, 1, 2605.05, 736.44, 2725.94, 963.08, 1, 0.98
575, 2, 1412.79, 612.70, 1528.53, 790.83, 3, 0.60
575, 5, 3413.93, 808.00, 3628.55, 1036.50, 3, 0.72
575, 12, 2811.87, 820.23, 2956.67, 1071.45, 2, 0.82
575, 21, 3029.63, 795.29, 3142.29, 1033.83, 0, 0.93
575, 25, 2260.61, 746.00, 2379.14, 980.08, 0, 0.93
575, 27, 3413.01, 799.56, 3612.92, 1031.20, 3, 0.71
575, 67, 1285.88, 634.75, 1452.47, 833.79, 3, 0.70
600, 1, 2604.90, 736.98, 2725.16, 964.95, 1, 0.98
600, 2, 1419.61, 613.13, 1528.98, 800.92, 0, 0.67
600, 5, 3412.90, 810.32, 3626.69, 1043.81, 3, 0.68
600, 12, 2811.93, 819.27, 2955.12, 1072.43, 2, 0.47
600, 21, 3028.86, 793.00, 3144.50, 1035.37, 0, 0.92
600, 25, 2260.46, 744.02, 2380.14, 981.86, 0, 0.88
600, 72, 1998.52, 703.93, 2112.14, 919.20, 0, 0.94
625, 1, 2604.33, 737.75, 2725.47, 965.48, 1, 0.98
625, 2, 1426.50, 609.71, 1533.58, 800.49, 0, 0.83
625, 5, 3411.65, 811.45, 3626.67, 1046.09, 3, 0.65
625, 12, 2814.16, 816.59, 2954.34, 1043.30, 2, 0.37
625, 21, 3028.98, 792.09, 3143.21, 1001.17, 0, 0.92
625, 25, 2263.25, 701.61, 2375.27, 917.95, 0, 0.90
625, 72, 1994.90, 693.34, 2106.94, 905.04, 0, 0.91
625, 77, 3832.52, 819.93, 3954.13, 1051.98, 0, 0.76
625, 27, 3416.43, 806.44, 3622.70, 1029.61, 3, 0.31
650, 1, 2616.43, 700.14, 2735.64, 919.96, 1, 0.92
650, 12, 2811.51, 809.06, 2950.64, 1047.99, 2, 0.71
650, 21, 3028.36, 787.71, 3144.43, 993.07, 0, 0.54
650, 72, 1990.66, 668.21, 2096.04, 872.85, 0, 0.75
650, 77, 3833.53, 820.32, 3950.92, 1047.08, 0, 0.83
650, 85, 3837.88, 817.42, 3953.87, 1043.31, 0, 0.62
700, 98, 2637.17, 592.30, 2743.84, 775.89, 0, 0.57
850, 2, 1461.08, 632.10, 1572.45, 840.21, 0, 0.85
975, 160, 668.00, 538.62, 802.91, 691.87, 0, 0.79
1000, 160, 665.77, 538.81, 801.93, 690.20, 0, 0.82
1000, 72, 1928.94, 404.99, 2026.47, 536.96, 0, 0.85
1025, 160, 666.10, 533.37, 803.67, 690.19, 0, 0.61
1050, 160, 666.25, 532.06, 799.72, 690.86, 0, 0.86
1050, 168, 2493.85, 432.57, 2563.72, 565.06, 0, 0.67
1075, 160, 667.24, 533.13, 801.32, 690.54, 0, 0.85
1075, 25, 2207.40, 562.09, 2363.12, 752.83, 0, 0.74
1100, 160, 669.47, 533.24, 802.03, 689.87, 0, 0.80
1100, 176, 2418.86, 559.99, 2508.47, 737.90, 1, 0.93
1100, 67, 1231.66, 594.13, 1421.36, 788.67, 0, 0.54
1125, 160, 668.56, 528.91, 799.45, 687.63, 0, 0.54
1150, 160, 669.93, 531.66, 801.05, 686.78, 0, 0.76
1175, 160, 671.05, 537.70, 797.84, 691.19, 0, 0.26
1200, 160, 669.52, 531.69, 800.69, 689.06, 0, 0.61
1225, 160, 672.35, 530.80, 799.26, 685.67, 0, 0.28
1250, 160, 670.01, 530.39, 801.60, 688.51, 0, 0.42
1275, 160, 672.17, 532.83, 801.97, 688.90, 0, 0.73
1300, 160, 669.67, 534.95, 802.43, 687.85, 0, 0.33
1325, 160, 667.68, 532.43, 802.72, 689.16, 0, 0.78
1350, 160, 670.01, 538.27, 802.33, 690.98, 0, 0.82
1400, 160, 670.00, 533.15, 800.74, 684.25, 0, 0.77
1425, 160, 669.43, 533.70, 802.37, 687.97, 0, 0.82
1450, 160, 672.01, 533.62, 802.38, 688.57, 0, 0.76
1475, 160, 668.36, 530.59, 801.64, 689.61, 0, 0.50
1500, 160, 668.38, 532.91, 803.75, 691.23, 0, 0.63
1525, 160, 670.04, 539.17, 804.62, 693.02, 0, 0.65
1700, 248, 2055.45, 723.09, 2182.64, 967.57, 0, 0.93
1725, 248, 2056.11, 724.17, 2183.19, 967.51, 0, 0.93
1750, 248, 2057.39, 722.83, 2185.05, 968.24, 0, 0.93
1775, 248, 2058.92, 723.27, 2186.29, 967.49, 0, 0.93
1800, 248, 2058.44, 723.04, 2186.00, 967.32, 0, 0.93
1825, 248, 2059.13, 722.90, 2186.02, 966.14, 0, 0.92
1850, 248, 2059.07, 723.67, 2186.57, 966.65, 0, 0.93
1875, 248, 2058.49, 721.97, 2186.62, 966.92, 0, 0.93
1900, 248, 2058.62, 722.27, 2186.88, 966.98, 0, 0.92
1925, 248, 2059.41, 722.54, 2188.62, 966.35, 0, 0.92
1950, 248, 2060.40, 723.24, 2189.49, 964.06, 0, 0.92
1975, 248, 2060.36, 724.16, 2188.39, 963.43, 0, 0.92
2000, 248, 2060.47, 724.34, 2187.73, 964.11, 0, 0.93
2025, 248, 2062.59, 724.17, 2189.36, 963.89, 0, 0.93
2050, 248, 2061.24, 726.59, 2188.17, 964.75, 0, 0.92
2075, 248, 2061.39, 726.25, 2188.88, 966.60, 0, 0.91
2100, 248, 2062.15, 725.25, 2191.01, 966.18, 0, 0.92
2125, 248, 2062.68, 725.02, 2192.32, 964.97, 0, 0.93
2150, 248, 2062.76, 725.38, 2192.47, 966.45, 0, 0.92
2175, 248, 2063.23, 725.63, 2193.13, 965.54, 0, 0.93
2200, 248, 2063.29, 725.20, 2193.16, 962.69, 0, 0.86
2225, 248, 2062.87, 725.65, 2192.30, 963.74, 0, 0.93
2250, 248, 2063.34, 725.04, 2191.26, 964.36, 0, 0.93
