frame,track_id,x,y,w,h,class_id,conf
220,2,1423.63,610.71,1530.41,805.88,0,0.84
220,3,3408.22,806.16,3629.28,1040.31,3,0.53
220,5,3403.13,806.03,3626.28,1048.31,3,0.91
220,16,2814.39,817.46,2954.88,1063.78,2,0.61
220,20,3405.59,801.06,3612.72,1033.46,3,0.45
230,1,2606.67,738.82,2722.38,962.25,1,0.67
230,2,1423.74,610.94,1530.98,805.57,0,0.84
230,3,3408.4,805.78,3628.98,1040.36,3,0.5
230,5,3403.28,805.52,3626.14,1048.33,3,0.91
230,16,2811.17,816.62,2955.01,1070.21,2,0.79
230,20,3405.56,800.48,3613.09,1034.23,3,0.51
230,34,3067.65,854.89,3188.8,1115.33,0,0.93
240,1,2605.76,739.24,2724.72,962.56,1,0.98
240,2,1423.18,610.76,1531.75,807.4,0,0.88
240,3,3410.07,807.69,3629.33,1040.56,3,0.33
240,5,3403.84,807.6,3626.39,1048.22,3,0.91
240,16,2811.01,816.13,2955.92,1071.35,2,0.63
240,20,3406.65,800.75,3613.52,1034.99,3,0.44
240,34,3049.64,832.35,3167.02,1069.04,0,0.9
250,1,2605,738.6,2725.63,962.07,1,0.98
250,2,1423.37,610.27,1531.5,808.15,0,0.89
250,5,3403.57,811.4,3618.54,1047.51,3,0.59
250,16,2810.09,818.01,2954.71,1071.57,2,0.66
250,34,3029.63,797.01,3143.52,1036.02,0,0.93
260,1,2605.61,738.53,2725.78,962.51,1,0.98
260,2,1424.33,611.18,1532.24,807.58,0,0.66
260,5,3403.86,808.25,3625.42,1047.51,3,0.87
260,16,2810.85,820.15,2954.66,1071.39,2,0.87
260,34,3017.99,782.39,3133.78,1022.99,0,0.94
270,1,2605.43,738.46,2725.85,963.55,1,0.98
270,2,1424.08,611.59,1528.26,808.09,0,0.67
270,5,3404.17,807.29,3626.89,1047.67,3,0.87
270,16,2810.9,820.17,2954.43,1071.75,2,0.83
270,34,3015.75,778.4,3131.21,1019.42,0,0.92
270,44,2253.45,870.82,2389.93,1143.64,0,0.9
270,47,3407.91,800.65,3611.89,1032.58,3,0.52
270,48,3410.17,805.96,3631.93,1040.39,3,0.48
280,1,2605.56,738.48,2725.77,964.37,1,0.98
280,2,1423.75,610.9,1529.72,807.7,0,0.87
280,5,3404.51,807.57,3627.17,1047.7,3,0.86
280,16,2811.13,820.71,2954.31,1071.88,2,0.86
280,34,3019.11,783.73,3132.67,1019.13,0,0.89
280,44,2243.08,833.46,2375.55,1092.75,0,0.93
280,47,3408.08,800.65,3612.36,1033.49,3,0.51
280,48,3410.34,806.68,3630.99,1040.57,3,0.43
290,1,2606.18,735.07,2724.78,963.88,1,0.96
290,2,1423.6,611.71,1530.66,806.19,0,0.85
290,5,3404.54,807.72,3627.17,1048.64,3,0.93
290,16,2809.29,821.09,2953.62,1072.64,2,0.9
290,34,3020.01,788.52,3131.29,1020.24,0,0.88
290,44,2239.69,799.83,2371.76,1062.45,0,0.35
290,47,3407.42,801.46,3612.6,1035.9,3,0.4
290,48,3409.62,807.39,3630.61,1041.7,3,0.28
300,1,2605.29,736.04,2725.64,964.02,1,0.95
300,2,1422.47,611.67,1531.45,806.65,0,0.54
300,5,3404.79,807.33,3626.61,1048.71,3,0.92
300,16,2808.93,811.03,2952,1072.56,2,0.91
300,34,3021.19,791.38,3130.86,1023.69,0,0.88
300,44,2240.66,774.78,2371.8,1033.18,0,0.86
300,47,3407.54,801.27,3612.82,1035.97,3,0.51
300,48,3409.82,807.2,3629.69,1041.45,3,0.33
310,1,2604.84,736.5,2726.24,965.01,1,0.98
310,2,1422.64,611.47,1531.28,806.38,0,0.76
310,5,3405.21,810.94,3622.54,1049.4,3,0.55
310,16,2809.48,817.2,2952.99,1071.93,2,0.82
310,34,3020.77,788.68,3133.07,1023.3,0,0.87
310,44,2249.25,758.53,2377.52,1005.83,0,0.92
320,1,2605.45,736.77,2726.17,965.19,1,0.98
320,2,1423.06,610.93,1530.44,805.31,0,0.65
320,5,3403.88,809.3,3618.72,1046.44,3,0.76
320,16,2810.92,819.88,2953.56,1072.17,2,0.9
320,34,3019.55,786.54,3132.4,1024.01,0,0.93
320,44,2259.04,748.67,2378.77,990.4,0,0.45
330,1,2605.52,737.41,2725.64,963.87,1,0.98
330,2,1422.85,610.7,1530.15,805.75,0,0.77
330,5,3403.43,808.35,3622.03,1046.99,3,0.82
330,16,2810.93,820.89,2953.51,1072.84,2,0.85
330,34,3020.39,785.65,3132.95,1024.5,0,0.95
330,44,2260.77,743.92,2378.61,979.29,0,0.92
330,66,3408.69,807.99,3625.13,1038.74,3,0.59
340,1,2605.35,737.37,2725.42,963.35,1,0.98
340,2,1423.09,611.11,1530.12,805.16,0,0.84
340,5,3402.83,807.71,3623.52,1047.17,3,0.8
340,16,2810.09,820.08,2954.68,1073.28,2,0.89
340,34,3022.84,786.86,3134.37,1024.34,0,0.94
340,44,2264.01,742.34,2382.2,975.9,0,0.91
340,66,3408.21,807.48,3626.83,1039,3,0.58
340,68,3405.69,801.11,3610.29,1033.23,3,0.52
350,1,2605.48,738.31,2725.26,963.58,1,0.98
350,2,1423.25,610.57,1531.67,805.27,0,0.89
350,5,3404.12,807.53,3626.09,1048.09,3,0.89
350,16,2809.79,818.83,2955.47,1072.47,2,0.91
350,34,3023.96,787.39,3135.66,1025.4,0,0.91
350,44,2263.37,743.72,2382.54,975.07,0,0.92
350,66,3409.63,807.18,3630.2,1040.02,3,0.37
350,68,3407.1,801.24,3612.35,1034.19,3,0.46
360,1,2605.52,738.91,2725.15,963.45,1,0.98
360,2,1422.35,611.62,1531.11,804.89,0,0.87
360,5,3404.65,807.49,3628.32,1048.49,3,0.88
360,16,2809.64,818.61,2955.36,1072.25,2,0.9
360,34,3023.36,787.55,3135.26,1025.36,0,0.9
360,44,2262.53,744.18,2381.91,975.07,0,0.93
360,66,3410.46,807.11,3632.92,1040.19,3,0.31
360,68,3407.69,801.69,3613.49,1034.18,3,0.42
370,1,2605.42,738.64,2725.25,963.73,1,0.98
370,2,1422.16,613.14,1530.17,804.9,0,0.83
370,5,3404.95,807.16,3629.47,1048.6,3,0.89
370,16,2809.63,818.61,2955.59,1072.3,2,0.9
370,34,3021.97,784.88,3135.27,1025.81,0,0.91
370,44,2261.8,743.85,2381.83,975.81,0,0.93
370,66,3410.88,806.8,3634.24,1040.31,3,0.28
370,68,3407.84,801.55,3613.69,1034.07,3,0.46
380,1,2604.65,738.33,2725.17,963.7,1,0.99
380,2,1421.66,613.12,1528.39,805.53,0,0.85
380,5,3404.28,807.85,3628.38,1048.67,3,0.88
380,16,2810.71,819.17,2956.23,1073.3,2,0.92
380,34,3021.19,783.14,3134.73,1025.48,0,0.91
380,44,2261.14,743.56,2381.11,976.16,0,0.93
380,66,3409.53,807.42,3632.6,1040.86,3,0.31
380,68,3406.41,801.45,3613.23,1035.19,3,0.39
390,1,2604.82,738.88,2725.29,962.92,1,0.95
390,2,1421.1,613.89,1527.31,807.03,0,0.68
390,5,3404.38,807.86,3629.02,1048.86,3,0.86
390,16,2809.93,819.53,2955.99,1073.83,2,0.85
390,34,3021.13,781.6,3135.84,1026.35,0,0.92
390,44,2260.8,743.67,2380.59,976.18,0,0.94
390,66,3409.77,807.35,3633.44,1041.19,3,0.29
390,68,3406.47,801.17,3613.82,1035.91,3,0.49
400,1,2604.5,737.74,2725.73,964.3,1,0.94
400,2,1422.23,613.43,1524.05,808.94,0,0.64
400,5,3404.97,807.48,3626.78,1049.82,3,0.92
400,16,2809.56,819.83,2954.86,1072.77,2,0.77
400,34,3020.33,781.07,3137.81,1026.91,0,0.92
400,44,2260.29,744.02,2379.81,976.03,0,0.94
400,68,3406.7,800.34,3611.7,1037.14,3,0.46
410,1,2604.48,738.24,2725.62,965.31,1,0.98
410,2,1422.46,618.13,1523.47,809.1,0,0.74
410,5,3407.78,810.97,3623.58,1049.72,3,0.47
410,16,2810.14,818.8,2955.07,1072.91,2,0.89
410,34,3021.07,780.1,3139.3,1027.72,0,0.94
410,44,2260.27,744.87,2379.34,976.5,0,0.93
420,1,2604.66,738.92,2725.51,965.41,1,0.98
420,2,1421.2,614.81,1527.53,807.94,0,0.86
420,5,3408.55,807.2,3627.58,1049.98,3,0.84
